code_parametre,nom_canonique,symbole,unite_standard,type_metier,theme,sous_theme,regle_parsing,attributs_obligatoires,attributs_optionnels,variantes_associees,statut_validation,flag,justification_decision,source_decision,commentaire_migration
PB,Plomb,Pb,mg/L,métaux lourds,métaux,plomb,numeric_decimal_comma + limites_detection + quarantine_non_convertible,,,Pb | Plomb | Plomb(mg/l),VALID,VALID,Décision D2/D3 validée et propagée aux variantes métier.,D2 validé + décisions D3 utilisateur + retour equipe metier.xlsx,Seuil ABH à charger depuis docs/40 si applicable.
PERIMETRE,Perimetre,Perimetre,km,physico-chimie,Périmètre du bassin (km),à confirmer,numeric_decimal_comma + limites_detection + quarantine_non_convertible,,,Perimetre | perimetre,A_VALIDER,PARAMETRE_A_VALIDER,Présent dans le fichier métier mais non validé explicitement en D3.,retour equipe metier.xlsx,Seuil ABH à charger depuis docs/40 si applicable.
PH,pH,pH,sans unité,physico-chimie,qualité eau,in situ,numeric_decimal_comma + limites_detection + quarantine_non_convertible,source_mesure,methode_analyse,pH | ph | pH au laboratoire,VALID,VALID,Décision D2/D3 validée et propagée aux variantes métier.,D2 validé + décisions D3 utilisateur + retour equipe metier.xlsx,Seuil ABH à charger depuis docs/40 si applicable.
PHENOL,Phenol,Phenol,mg/L,pollution / physico-chimie,pollution,phénols,numeric_decimal_comma + unite_nettoyee + limites_detection + quarantine_non_convertible,methode_analyse,,Phenol | phenol | Phénol | Ph�nol | indice de phénol M:A | Indicedephénol(mg/l) | IP | IP(mgO2/l),VALID_WITH_QA,VALID_WITH_QA,Décision D2/D3 validée et propagée aux variantes métier.,D2 validé + décisions D3 utilisateur + retour equipe metier.xlsx,Seuil ABH à charger depuis docs/40 si applicable.
PHEOPIGMENT,Pheopigment,Pheopigment,µg/L,physico-chimie,Phéopigments (dégradation chlorophylle),à confirmer,numeric_decimal_comma + limites_detection + quarantine_non_convertible,,,Pheopigment,A_VALIDER,PARAMETRE_A_VALIDER,Présent dans le fichier métier mais non validé explicitement en D3.,retour equipe metier.xlsx,Seuil ABH à charger depuis docs/40 si applicable.
PO4,Orthophosphates,PO4³-,mg/L,physico-chimie,phosphore,orthophosphates,numeric_decimal_comma + limites_detection + quarantine_non_convertible,,,PO4³- | PO3 | PO4 3- | PO43- | PO43-(mgP/l) | Orthophosphates | PO43_,VALID,VALID,Décision D2/D3 validée et propagée aux variantes métier.,D2 validé + décisions D3 utilisateur + retour equipe metier.xlsx,Seuil ABH à charger depuis docs/40 si applicable.
PRECIPITATION,Precipitation,P,mm,météo,précipitation,journalière,numeric_decimal_comma + null_non_migre + type_valeur + flags_series_temporelles + quarantine_non_convertible,time_step;source_donnee;type_valeur,,Precip_jr | precipitation_jr | Precipitation | P | p_max | p_annuelle | val_observees | val_remplies | val_power_nasa | Précipitation | PRECIP | Précipitation annuelle | precipitation annuelle | Précipitation maximale | precipitation max,VALID_WITH_QA,VALID_WITH_QA,Décision D2/D3 validée et propagée aux variantes métier.,D2 validé + décisions D3 utilisateur + retour equipe metier.xlsx,Seuil ABH à charger depuis docs/40 si applicable.
PROFONDEUR,Profondeur,Profondeur,m,physico-chimie,Profondeur totale,à confirmer,numeric_decimal_comma + limites_detection + quarantine_non_convertible,,,Profondeur | profond_tot_m,A_VALIDER,PARAMETRE_A_VALIDER,Présent dans le fichier métier mais non validé explicitement en D3.,retour equipe metier.xlsx,Seuil ABH à charger depuis docs/40 si applicable.
PSEUDO_AER,Pseudo_aer,Pseudo_aer,UFC/100 mL,physico-chimie,Pseudomonas aeruginosa,à confirmer,numeric_decimal_comma + limites_detection + quarantine_non_convertible,,,Pseudo_aer,A_VALIDER,PARAMETRE_A_VALIDER,Présent dans le fichier métier mais non validé explicitement en D3.,retour equipe metier.xlsx,Seuil ABH à charger depuis docs/40 si applicable.
PT,Phosphore_total,PT,mg/L,physico-chimie,phosphore,phosphore total,numeric_decimal_comma + limites_detection + quarantine_non_convertible,,ne_pas_fusionner_PO4,PT | PT décant. 2h | PT DECANTE | PT(mgP/l) | Phosphore total | Phosphore_Total | Phosphore_total,VALID,VALID,Décision D2/D3 validée et propagée aux variantes métier.,D2 validé + décisions D3 utilisateur + retour equipe metier.xlsx,Seuil ABH à charger depuis docs/40 si applicable.
PTD,PTD,PTD,mg/L,physico-chimie,Phosphore total dissous,à confirmer,numeric_decimal_comma + limites_detection + quarantine_non_convertible,,,PTD,A_VALIDER,PARAMETRE_A_VALIDER,Présent dans le fichier métier mais non validé explicitement en D3.,retour equipe metier.xlsx,Seuil ABH à charger depuis docs/40 si applicable.
PTP,PTP,PTP,mg/L,physico-chimie,Phosphore total particulaire,à confirmer,numeric_decimal_comma + limites_detection + quarantine_non_convertible,,,PTP,A_VALIDER,PARAMETRE_A_VALIDER,Présent dans le fichier métier mais non validé explicitement en D3.,retour equipe metier.xlsx,Seuil ABH à charger depuis docs/40 si applicable.
P_ANNUELLE,P_annuelle,P_annuelle,mm/an,physico-chimie,Précipitation annuelle,à confirmer,numeric_decimal_comma + limites_detection + quarantine_non_convertible,,,P_annuelle | p_annuelle,A_VALIDER,PARAMETRE_A_VALIDER,Présent dans le fichier métier mais non validé explicitement en D3.,retour equipe metier.xlsx,Seuil ABH à charger depuis docs/40 si applicable.
P_MAX,P_max,P_max,mm,physico-chimie,Précipitation maximale,à confirmer,numeric_decimal_comma + limites_detection + quarantine_non_convertible,,,P_max | p_max,A_VALIDER,PARAMETRE_A_VALIDER,Présent dans le fichier métier mais non validé explicitement en D3.,retour equipe metier.xlsx,Seuil ABH à charger depuis docs/40 si applicable.
QUANTITE_TJ,Quantite_tj,Quantite_tj,t/jour,physico-chimie,Quantité journalière (t/j),à confirmer,numeric_decimal_comma + limites_detection + quarantine_non_convertible,,,Quantite_tj | quantite_t_j,A_VALIDER,PARAMETRE_A_VALIDER,Présent dans le fichier métier mais non validé explicitement en D3.,retour equipe metier.xlsx,Seuil ABH à charger depuis docs/40 si applicable.
RESTITUTION,Restitution,Restitution,Mm³,physico-chimie,Restitutions en eau (Mm³),à confirmer,numeric_decimal_comma + limites_detection + quarantine_non_convertible,,,Restitution | restitutions_mm3,A_VALIDER,PARAMETRE_A_VALIDER,Présent dans le fichier métier mais non validé explicitement en D3.,retour equipe metier.xlsx,Seuil ABH à charger depuis docs/40 si applicable.
RS105,RS105,RS105,mg/L,physico-chimie,Résidu sec à 105 °C,à confirmer,numeric_decimal_comma + limites_detection + quarantine_non_convertible,,,RS105 | RS mesuré | RS mesuré_à 105 °C,A_VALIDER,PARAMETRE_A_VALIDER,Présent dans le fichier métier mais non validé explicitement en D3.,retour equipe metier.xlsx,Seuil ABH à charger depuis docs/40 si applicable.
RS185,RS185,RS185,mg/L,physico-chimie,Résidu sec à 185 °C (résidu minéral),à confirmer,numeric_decimal_comma + limites_detection + quarantine_non_convertible,,,RS185,A_VALIDER,PARAMETRE_A_VALIDER,Présent dans le fichier métier mais non validé explicitement en D3.,retour equipe metier.xlsx,Seuil ABH à charger depuis docs/40 si applicable.
S2,S²-,S²-,mg/L,physico-chimie,Sulfures,à confirmer,numeric_decimal_comma + limites_detection + quarantine_non_convertible,,,S²- | S | S2,A_VALIDER,PARAMETRE_A_VALIDER,Présent dans le fichier métier mais non validé explicitement en D3.,retour equipe metier.xlsx,Seuil ABH à charger depuis docs/40 si applicable.
SATURATION_OXYGENE,Saturation_oxygene,sat,%,physico-chimie,oxygène,saturation,numeric_decimal_comma + lien_O2 + limites_detection + quarantine_non_convertible,parametre_lie_O2,source_mesure,sat | Saturation_oxygene | Saturation | SAT,VALID_WITH_QA,VALID_WITH_QA,Décision D2/D3 validée et propagée aux variantes métier.,D2 validé + décisions D3 utilisateur + retour equipe metier.xlsx,Seuil ABH à charger depuis docs/40 si applicable.
SAVEUR,Saveur,Saveur,— (qualitatif),physico-chimie,Saveur,à confirmer,numeric_decimal_comma + limites_detection + quarantine_non_convertible,,,Saveur,A_VALIDER,PARAMETRE_A_VALIDER,Présent dans le fichier métier mais non validé explicitement en D3.,retour equipe metier.xlsx,Seuil ABH à charger depuis docs/40 si applicable.
SB,Sb,Sb,mg/L,physico-chimie,Antimoine,à confirmer,numeric_decimal_comma + limites_detection + quarantine_non_convertible,,,Sb,A_VALIDER,PARAMETRE_A_VALIDER,Présent dans le fichier métier mais non validé explicitement en D3.,retour equipe metier.xlsx,Seuil ABH à charger depuis docs/40 si applicable.
SE,Se,Se,mg/L,physico-chimie,Sélénium,à confirmer,numeric_decimal_comma + limites_detection + quarantine_non_convertible,,,Se | Sélénium | Sélénium(mg/l) | Selenium,A_VALIDER,PARAMETRE_A_VALIDER,Présent dans le fichier métier mais non validé explicitement en D3.,retour equipe metier.xlsx,Seuil ABH à charger depuis docs/40 si applicable.
SF,SF,SF,UFC/100 mL,physico-chimie,Streptocoques Fécaux (Entérocoques),à confirmer,numeric_decimal_comma + limites_detection + quarantine_non_convertible,,,SF,A_VALIDER,PARAMETRE_A_VALIDER,Présent dans le fichier métier mais non validé explicitement en D3.,retour equipe metier.xlsx,Seuil ABH à charger depuis docs/40 si applicable.
SIO2,SiO2,SiO2,mg/L,physico-chimie,Silice,à confirmer,numeric_decimal_comma + limites_detection + quarantine_non_convertible,,,SiO2 | SiO2(mg/l),A_VALIDER,PARAMETRE_A_VALIDER,Présent dans le fichier métier mais non validé explicitement en D3.,retour equipe metier.xlsx,Seuil ABH à charger depuis docs/40 si applicable.
SIO3,SiO3,SiO3,mg/L,physico-chimie,Silicates,à confirmer,numeric_decimal_comma + limites_detection + quarantine_non_convertible,,,SiO3,A_VALIDER,PARAMETRE_A_VALIDER,Présent dans le fichier métier mais non validé explicitement en D3.,retour equipe metier.xlsx,Seuil ABH à charger depuis docs/40 si applicable.
SN,Sn,Sn,mg/L,physico-chimie,Étain,à confirmer,numeric_decimal_comma + limites_detection + quarantine_non_convertible,,,Sn,A_VALIDER,PARAMETRE_A_VALIDER,Présent dans le fichier métier mais non validé explicitement en D3.,retour equipe metier.xlsx,Seuil ABH à charger depuis docs/40 si applicable.
SO32,SO3²-,SO3²-,mg/L,physico-chimie,Sulfites,à confirmer,numeric_decimal_comma + limites_detection + quarantine_non_convertible,,,SO3²- | SO3,A_VALIDER,PARAMETRE_A_VALIDER,Présent dans le fichier métier mais non validé explicitement en D3.,retour equipe metier.xlsx,Seuil ABH à charger depuis docs/40 si applicable.
SO4,Sulfates,SO4²-,mg/L,physico-chimie,ions majeurs,anions,numeric_decimal_comma + limites_detection + quarantine_non_convertible,methode_analyse,,SO4²- | SO4 | SO4-- | SO4(mg/l) | SO42-_IC | Sulfates,VALID,VALID,Décision D2/D3 validée et propagée aux variantes métier.,D2 validé + décisions D3 utilisateur + retour equipe metier.xlsx,Seuil ABH à charger depuis docs/40 si applicable.
SOM_ANIONS,Som_anions,Som_anions,meq/L ou mg/L,métaux lourds,Somme des anions,à confirmer,numeric_decimal_comma + limites_detection + quarantine_non_convertible,,,Som_anions | somme anions_meq/l | somme anions_meq/l3 | somme anions_mg/l | somme anions_mg/l4,A_VALIDER,PARAMETRE_A_VALIDER,Présent dans le fichier métier mais non validé explicitement en D3.,retour equipe metier.xlsx,Seuil ABH à charger depuis docs/40 si applicable.
SOM_CATIONS,Som_cations,Som_cations,meq/L ou mg/L,physico-chimie,Somme des cations,à confirmer,numeric_decimal_comma + limites_detection + quarantine_non_convertible,,,Som_cations | Somme cations_meq/l | Somme cations_mg/l,A_VALIDER,PARAMETRE_A_VALIDER,Présent dans le fichier métier mais non validé explicitement en D3.,retour equipe metier.xlsx,Seuil ABH à charger depuis docs/40 si applicable.
SR,Sr,Sr,mg/L,physico-chimie,Strontium,à confirmer,numeric_decimal_comma + limites_detection + quarantine_non_convertible,,,Sr,A_VALIDER,PARAMETRE_A_VALIDER,Présent dans le fichier métier mais non validé explicitement en D3.,retour equipe metier.xlsx,Seuil ABH à charger depuis docs/40 si applicable.
SUPERFICIE_HA,Superficie_ha,Superficie_ha,ha,physico-chimie,Superficie (ha),à confirmer,numeric_decimal_comma + limites_detection + quarantine_non_convertible,,,Superficie_ha | sup_occupee_ha | sup_tot_ha | superficie_ha,A_VALIDER,PARAMETRE_A_VALIDER,Présent dans le fichier métier mais non validé explicitement en D3.,retour equipe metier.xlsx,Seuil ABH à charger depuis docs/40 si applicable.
SUPERFICIE_KM2,Superficie_km2,Superficie_km2,km²,physico-chimie,Superficie (km²),à confirmer,numeric_decimal_comma + limites_detection + quarantine_non_convertible,,,Superficie_km2 | superficie_km2 | surface_km2,A_VALIDER,PARAMETRE_A_VALIDER,Présent dans le fichier métier mais non validé explicitement en D3.,retour equipe metier.xlsx,Seuil ABH à charger depuis docs/40 si applicable.
TA,TA,TA,meq/L,physico-chimie,Titre Alcalimétrique (teneur en OH⁻ + ½CO3²⁻),à confirmer,numeric_decimal_comma + limites_detection + quarantine_non_convertible,,,TA | TA/Tas_°F | TA/Tas_meq/l | TA_°F | TA_meq/l,A_VALIDER,PARAMETRE_A_VALIDER,Présent dans le fichier métier mais non validé explicitement en D3.,retour equipe metier.xlsx,Seuil ABH à charger depuis docs/40 si applicable.
TAC,TAC,TAC,meq/L,physico-chimie,Titre Alcalimétrique Complet (teneur totale en bases),à confirmer,numeric_decimal_comma + limites_detection + quarantine_non_convertible,,,TAC | TAC/TACs_°F | TAC/TACs_meq/l | TAC_°F | TAC_meq/l,A_VALIDER,PARAMETRE_A_VALIDER,Présent dans le fichier métier mais non validé explicitement en D3.,retour equipe metier.xlsx,Seuil ABH à charger depuis docs/40 si applicable.
TH,TH,TH,meq/L,physico-chimie,Titre Hydrotimétrique (dureté totale Ca²⁺ + Mg²⁺),à confirmer,numeric_decimal_comma + limites_detection + quarantine_non_convertible,,,TH,A_VALIDER,PARAMETRE_A_VALIDER,Présent dans le fichier métier mais non validé explicitement en D3.,retour equipe metier.xlsx,Seuil ABH à charger depuis docs/40 si applicable.
TL,Tl,Tl,mg/L,physico-chimie,Thallium,à confirmer,numeric_decimal_comma + limites_detection + quarantine_non_convertible,,,Tl,A_VALIDER,PARAMETRE_A_VALIDER,Présent dans le fichier métier mais non validé explicitement en D3.,retour equipe metier.xlsx,Seuil ABH à charger depuis docs/40 si applicable.
TRANSFERT,Transfert,Transfert,Mm³,hydrologie,Transferts en eau (Mm³),à confirmer,numeric_decimal_comma + null_non_migre_si_applicable + flags_series_temporelles + quarantine_non_convertible,,,Transfert | transfert_mm3,A_VALIDER,PARAMETRE_A_VALIDER,Présent dans le fichier métier mais non validé explicitement en D3.,retour equipe metier.xlsx,Seuil ABH à charger depuis docs/40 si applicable.
TURBIDITE,Turbidite,Turb,NTU,physico-chimie,turbidité,in situ,numeric_decimal_comma + quarantine_non_convertible,,,Turbidite | turbidite | Turbidité | Turb,VALID,VALID,Décision D2/D3 validée et propagée aux variantes métier.,D2 validé + décisions D3 utilisateur + retour equipe metier.xlsx,Seuil ABH à charger depuis docs/40 si applicable.
T_AIR,Temperature_air,T_air,°C,météo,température,air,numeric_decimal_comma + timestep + quarantine_non_convertible,time_step;type_valeur,source_donnee,T_air | t_air | T_Air | Temperature_Ambiante | Temperature_air | temperature_jr | Temperature max | Temperature min | Temperature moyenne | Température max | Température min | Température moyenne | T max | T min | T moy,VALID_WITH_QA,VALID_WITH_QA,Décision D2/D3 validée et propagée aux variantes métier.,D2 validé + décisions D3 utilisateur + retour equipe metier.xlsx,Seuil ABH à charger depuis docs/40 si applicable.
T_EAU,Temperature_eau,T_eau,°C,physico-chimie,température,eau,numeric_decimal_comma + quarantine_non_convertible,,source_mesure,T_eau | t_eau | Temperature_eau | Température eau,VALID,VALID,Décision D2/D3 validée et propagée aux variantes métier.,D2 validé + décisions D3 utilisateur + retour equipe metier.xlsx,Seuil ABH à charger depuis docs/40 si applicable.
UNREC_ALUMINIUM,Aluminium,Aluminium,à confirmer,métaux lourds,à confirmer,à confirmer,numeric_decimal_comma + limites_detection + quarantine_non_convertible,,,Aluminium,NON_RECONNU,PARAMETRE_A_VALIDER,Paramètre observé sans rattachement métier confirmé.,docs/42 + docs/39,Seuil ABH à charger depuis docs/40 si applicable.
UNREC_AMMONIA_N,Ammonia N,Ammonia N,à confirmer,métaux lourds,à confirmer,à confirmer,numeric_decimal_comma + limites_detection + quarantine_non_convertible,,,Ammonia N,NON_RECONNU,PARAMETRE_A_VALIDER,Paramètre observé sans rattachement métier confirmé.,docs/42 + docs/39,Seuil ABH à charger depuis docs/40 si applicable.
UNREC_ANNEE_HYDROLOGIQUE_CALCULEE,annee_hydrologique_calculee,annee_hydrologique_calculee,à confirmer,métaux lourds,à confirmer,à confirmer,numeric_decimal_comma + limites_detection + quarantine_non_convertible,,,annee_hydrologique_calculee,NON_RECONNU,PARAMETRE_A_VALIDER,Paramètre observé sans rattachement métier confirmé.,docs/42 + docs/39,Seuil ABH à charger depuis docs/40 si applicable.
UNREC_ANNEE_HYDROLOGIQUE_DEBUT_MOIS,annee_hydrologique_debut_mois,annee_hydrologique_debut_mois,à confirmer,physico-chimie,à confirmer,à confirmer,numeric_decimal_comma + limites_detection + quarantine_non_convertible,,,annee_hydrologique_debut_mois,NON_RECONNU,PARAMETRE_A_VALIDER,Paramètre observé sans rattachement métier confirmé.,docs/42 + docs/39,Seuil ABH à charger depuis docs/40 si applicable.
UNREC_ANTIMOINE,Antimoine,Antimoine,à confirmer,physico-chimie,à confirmer,à confirmer,numeric_decimal_comma + limites_detection + quarantine_non_convertible,,,Antimoine,NON_RECONNU,PARAMETRE_A_VALIDER,Paramètre observé sans rattachement métier confirmé.,docs/42 + docs/39,Seuil ABH à charger depuis docs/40 si applicable.
UNREC_ARGENT,Argent,Argent,à confirmer,physico-chimie,à confirmer,à confirmer,numeric_decimal_comma + limites_detection + quarantine_non_convertible,,,Argent,NON_RECONNU,PARAMETRE_A_VALIDER,Paramètre observé sans rattachement métier confirmé.,docs/42 + docs/39,Seuil ABH à charger depuis docs/40 si applicable.
UNREC_A_B_C_D,A-B-C-D,A-B-C-D,à confirmer,physico-chimie,à confirmer,à confirmer,numeric_decimal_comma + limites_detection + quarantine_non_convertible,,,A-B-C-D,NON_RECONNU,PARAMETRE_A_VALIDER,Paramètre observé sans rattachement métier confirmé.,docs/42 + docs/39,Seuil ABH à charger depuis docs/40 si applicable.
UNREC_A_B_C_D_H_E,A-B-C-D-H-E,A-B-C-D-H-E,à confirmer,physico-chimie,à confirmer,à confirmer,numeric_decimal_comma + limites_detection + quarantine_non_convertible,,,A-B-C-D-H-E,NON_RECONNU,PARAMETRE_A_VALIDER,Paramètre observé sans rattachement métier confirmé.,docs/42 + docs/39,Seuil ABH à charger depuis docs/40 si applicable.
UNREC_BARYUM,Baryum,Baryum,à confirmer,physico-chimie,à confirmer,à confirmer,numeric_decimal_comma + limites_detection + quarantine_non_convertible,,,Baryum,NON_RECONNU,PARAMETRE_A_VALIDER,Paramètre observé sans rattachement métier confirmé.,docs/42 + docs/39,Seuil ABH à charger depuis docs/40 si applicable.
UNREC_BERYLLIUM,Beryllium,Beryllium,à confirmer,physico-chimie,à confirmer,à confirmer,numeric_decimal_comma + limites_detection + quarantine_non_convertible,,,Beryllium,NON_RECONNU,PARAMETRE_A_VALIDER,Paramètre observé sans rattachement métier confirmé.,docs/42 + docs/39,Seuil ABH à charger depuis docs/40 si applicable.
UNREC_BORE_MG_L,Bore(mg/l),Bore(mg/l),mg/l,physico-chimie,à confirmer,à confirmer,numeric_decimal_comma + limites_detection + quarantine_non_convertible,,,Bore(mg/l),NON_RECONNU,PARAMETRE_A_VALIDER,Paramètre observé sans rattachement métier confirmé.,docs/42 + docs/39,Seuil ABH à charger depuis docs/40 si applicable.
UNREC_CBOD_U,CBOD_U,CBOD_U,à confirmer,physico-chimie,à confirmer,à confirmer,numeric_decimal_comma + limites_detection + quarantine_non_convertible,,,CBOD_U,NON_RECONNU,PARAMETRE_A_VALIDER,Paramètre observé sans rattachement métier confirmé.,docs/42 + docs/39,Seuil ABH à charger depuis docs/40 si applicable.
UNREC_CBOD_ULTIMATE,CBOD (Ultimate),CBOD (Ultimate),à confirmer,physico-chimie,à confirmer,à confirmer,numeric_decimal_comma + limites_detection + quarantine_non_convertible,,,CBOD (Ultimate),NON_RECONNU,PARAMETRE_A_VALIDER,Paramètre observé sans rattachement métier confirmé.,docs/42 + docs/39,Seuil ABH à charger depuis docs/40 si applicable.
MODEL_CHLA_OUT,chla_out,chla_out,à confirmer,modeles,sorties modèles SWAT/WASP,à valider modèle,modele_output_numeric + scenario + timestep + A_VALIDER_MODELE,,,chla_out,A_VALIDER,PARAMETRE_A_VALIDER,Sortie modèle isolée du référentiel des mesures client.,docs/42 + docs/39,Ne pas migrer comme mesure client ; arbitrage modèle requis.
UNREC_CHROME_TOTAL,Chrome_total,Chrome_total,à confirmer,métaux lourds,à confirmer,à confirmer,numeric_decimal_comma + limites_detection + quarantine_non_convertible,,,Chrome_total,NON_RECONNU,PARAMETRE_A_VALIDER,Paramètre observé sans rattachement métier confirmé.,docs/42 + docs/39,Seuil ABH à charger depuis docs/40 si applicable.
UNREC_CONDUC,Conduc,Conduc,µS/cm,physico-chimie,à confirmer,à confirmer,numeric_decimal_comma + limites_detection + quarantine_non_convertible,,,Conduc,NON_RECONNU,PARAMETRE_A_VALIDER,Paramètre observé sans rattachement métier confirmé.,docs/42 + docs/39,Seuil ABH à charger depuis docs/40 si applicable.
UNREC_COND_25DEGC_0_9_0_01,"Cond 25°C *0,9*0,01","Cond 25°C *0,9*0,01",°C,physico-chimie,à confirmer,à confirmer,numeric_decimal_comma + limites_detection + quarantine_non_convertible,,,"Cond 25°C *0,9*0,01",NON_RECONNU,PARAMETRE_A_VALIDER,Paramètre observé sans rattachement métier confirmé.,docs/42 + docs/39,Seuil ABH à charger depuis docs/40 si applicable.
UNREC_COND_25DEGC_1_1_0_01,"Cond 25°C *1,1*0,01","Cond 25°C *1,1*0,01",°C,physico-chimie,à confirmer,à confirmer,numeric_decimal_comma + limites_detection + quarantine_non_convertible,,,"Cond 25°C *1,1*0,01",NON_RECONNU,PARAMETRE_A_VALIDER,Paramètre observé sans rattachement métier confirmé.,docs/42 + docs/39,Seuil ABH à charger depuis docs/40 si applicable.
UNREC_DISSOLVED_OXYGEN,Dissolved Oxygen,Dissolved Oxygen,à confirmer,physico-chimie,à confirmer,à confirmer,numeric_decimal_comma + limites_detection + quarantine_non_convertible,,,Dissolved Oxygen,NON_RECONNU,PARAMETRE_A_VALIDER,Paramètre observé sans rattachement métier confirmé.,docs/42 + docs/39,Seuil ABH à charger depuis docs/40 si applicable.
UNREC_DO,DO,DO,à confirmer,physico-chimie,à confirmer,à confirmer,numeric_decimal_comma + limites_detection + quarantine_non_convertible,,,DO,NON_RECONNU,PARAMETRE_A_VALIDER,Paramètre observé sans rattachement métier confirmé.,docs/42 + docs/39,Seuil ABH à charger depuis docs/40 si applicable.
UNREC_ETAIN,Etain,Etain,à confirmer,physico-chimie,à confirmer,à confirmer,numeric_decimal_comma + limites_detection + quarantine_non_convertible,,,Etain,NON_RECONNU,PARAMETRE_A_VALIDER,Paramètre observé sans rattachement métier confirmé.,docs/42 + docs/39,Seuil ABH à charger depuis docs/40 si applicable.
UNREC_EVAPO,EVAPO,EVAPO,mm,météo,à confirmer,à confirmer,numeric_decimal_comma + null_non_migre_si_applicable + flags_series_temporelles + quarantine_non_convertible,,,EVAPO,NON_RECONNU,PARAMETRE_A_VALIDER,Paramètre observé sans rattachement métier confirmé.,docs/42 + docs/39,Seuil ABH à charger depuis docs/40 si applicable.
UNREC_FE2,Fe2_,Fe2_,à confirmer,métaux lourds,à confirmer,à confirmer,numeric_decimal_comma + limites_detection + quarantine_non_convertible,,,Fe2_,NON_RECONNU,PARAMETRE_A_VALIDER,Paramètre observé sans rattachement métier confirmé.,docs/42 + docs/39,Seuil ABH à charger depuis docs/40 si applicable.
UNREC_FER_FERREUX,Fer_ferreux,Fer_ferreux,à confirmer,métaux lourds,à confirmer,à confirmer,numeric_decimal_comma + limites_detection + quarantine_non_convertible,,,Fer_ferreux,NON_RECONNU,PARAMETRE_A_VALIDER,Paramètre observé sans rattachement métier confirmé.,docs/42 + docs/39,Seuil ABH à charger depuis docs/40 si applicable.
MODEL_FLOW_IN,flow_in,flow_in,à confirmer,modeles,sorties modèles SWAT/WASP,à valider modèle,modele_output_numeric + scenario + timestep + A_VALIDER_MODELE,,,flow_in,A_VALIDER,PARAMETRE_A_VALIDER,Sortie modèle isolée du référentiel des mesures client.,docs/42 + docs/39,Ne pas migrer comme mesure client ; arbitrage modèle requis.
MODEL_FLOW_OUT,flow_out,flow_out,à confirmer,modeles,sorties modèles SWAT/WASP,à valider modèle,modele_output_numeric + scenario + timestep + A_VALIDER_MODELE,,,flow_out,A_VALIDER,PARAMETRE_A_VALIDER,Sortie modèle isolée du référentiel des mesures client.,docs/42 + docs/39,Ne pas migrer comme mesure client ; arbitrage modèle requis.
MODEL_FLOW_OUT_OF_SEGMENT,Flow Out of Segment,Flow Out of Segment,à confirmer,modeles,sorties modèles SWAT/WASP,à valider modèle,modele_output_numeric + scenario + timestep + A_VALIDER_MODELE,,,Flow Out of Segment,A_VALIDER,PARAMETRE_A_VALIDER,Sortie modèle isolée du référentiel des mesures client.,docs/42 + docs/39,Ne pas migrer comme mesure client ; arbitrage modèle requis.
UNREC_FORAGE,Forage,Forage,à confirmer,physico-chimie,à confirmer,à confirmer,numeric_decimal_comma + limites_detection + quarantine_non_convertible,,,Forage,NON_RECONNU,PARAMETRE_A_VALIDER,Paramètre observé sans rattachement métier confirmé.,docs/42 + docs/39,Seuil ABH à charger depuis docs/40 si applicable.
UNREC_F_G_D,F-G-D,F-G-D,à confirmer,physico-chimie,à confirmer,à confirmer,numeric_decimal_comma + limites_detection + quarantine_non_convertible,,,F-G-D,NON_RECONNU,PARAMETRE_A_VALIDER,Paramètre observé sans rattachement métier confirmé.,docs/42 + docs/39,Seuil ABH à charger depuis docs/40 si applicable.
UNREC_HUILES_GRA,Huiles_Gra,Huiles_Gra,à confirmer,physico-chimie,à confirmer,à confirmer,numeric_decimal_comma + limites_detection + quarantine_non_convertible,,,Huiles_Gra,NON_RECONNU,PARAMETRE_A_VALIDER,Paramètre observé sans rattachement métier confirmé.,docs/42 + docs/39,Seuil ABH à charger depuis docs/40 si applicable.
UNREC_INVENTAIRE_DES_SOURCES,Inventaire des sources,Inventaire des sources,à confirmer,physico-chimie,à confirmer,à confirmer,numeric_decimal_comma + limites_detection + quarantine_non_convertible,,,Inventaire des sources,NON_RECONNU,PARAMETRE_A_VALIDER,Paramètre observé sans rattachement métier confirmé.,docs/42 + docs/39,Seuil ABH à charger depuis docs/40 si applicable.
UNREC_LACHER_M3S,lacher_m3s,lacher_m3s,à confirmer,physico-chimie,à confirmer,à confirmer,numeric_decimal_comma + limites_detection + quarantine_non_convertible,,,lacher_m3s,NON_RECONNU,PARAMETRE_A_VALIDER,Paramètre observé sans rattachement métier confirmé.,docs/42 + docs/39,Seuil ABH à charger depuis docs/40 si applicable.
UNREC_LITHIUM,Lithium,Lithium,à confirmer,physico-chimie,à confirmer,à confirmer,numeric_decimal_comma + limites_detection + quarantine_non_convertible,,,Lithium,NON_RECONNU,PARAMETRE_A_VALIDER,Paramètre observé sans rattachement métier confirmé.,docs/42 + docs/39,Seuil ABH à charger depuis docs/40 si applicable.
UNREC_L_CHER_BARRAGE,Lâcher barrage,Lâcher barrage,à confirmer,physico-chimie,à confirmer,à confirmer,numeric_decimal_comma + limites_detection + quarantine_non_convertible,,,Lâcher barrage,NON_RECONNU,PARAMETRE_A_VALIDER,Paramètre observé sans rattachement métier confirmé.,docs/42 + docs/39,Seuil ABH à charger depuis docs/40 si applicable.
