pts_prelevement_original,pts_prelevement_normalise,classe_semantique_proposee,confiance,justification,decision_metier
PUITS AIN ASSOU,puits ain assou,nappe_point_eau,moyenne,mention explicite de puits,
PUITS AIT YADINE,puits ait yadine,nappe_point_eau,moyenne,mention explicite de puits,
PUITS AVAL BOULEMANE,puits aval boulemane,nappe_point_eau,moyenne,mention explicite de puits,
PUITS BACHEKAR HASSAN,puits bachekar hassan,nappe_point_eau,moyenne,mention explicite de puits,
PUITS BADIA SAHLI,puits badia sahli,nappe_point_eau,moyenne,mention explicite de puits,
PUITS BRIQUETERIE,puits briqueterie,nappe_point_eau,moyenne,mention explicite de puits,
PUITS DAR BEL GHAZI,puits dar bel ghazi,nappe_point_eau,moyenne,mention explicite de puits,
PUITS DOUAR BEL KOURA,puits douar bel koura,nappe_point_eau,moyenne,mention explicite de puits,
PUITS DOUAR OUERSEFAN,puits douar ouersefan,nappe_point_eau,moyenne,mention explicite de puits,
PUITS FERME BEN ALI (NOUVEAU) ,puits ferme ben ali nouveau,nappe_point_eau,moyenne,mention explicite de puits,
PUITS FERME ZNIBER SADEK,puits ferme zniber sadek,nappe_point_eau,moyenne,mention explicite de puits,
PUITS FOURRIERE,puits fourriere,nappe_point_eau,moyenne,mention explicite de puits,
PUITS GHOUAZI OUAZZAA,puits ghouazi ouazzaa,nappe_point_eau,moyenne,mention explicite de puits,
PUITS HABRI HADOU ,puits habri hadou,nappe_point_eau,moyenne,mention explicite de puits,
PUITS HRICHMANE,puits hrichmane,nappe_point_eau,moyenne,mention explicite de puits,
PUITS KBIR BOUTARTA,puits kbir boutarta,nappe_point_eau,moyenne,mention explicite de puits,
PUITS LABYAR (AIN DORRIJ),puits labyar ain dorrij,nappe_point_eau,moyenne,mention explicite de puits,
PUITS LAZZOU ABD WAHD,puits lazzou abd wahd,nappe_point_eau,moyenne,mention explicite de puits,
PUITS LHAMMANI BRAHIM,puits lhammani brahim,nappe_point_eau,moyenne,mention explicite de puits,
PUITS LOUTFI BENKAMLEH,puits loutfi benkamleh,nappe_point_eau,moyenne,mention explicite de puits,
PUITS MANSOUR CHERINI,puits mansour cherini,nappe_point_eau,moyenne,mention explicite de puits,
PUITS MOHAMED HASSANI,puits mohamed hassani,nappe_point_eau,moyenne,mention explicite de puits,
PUITS ONEP AIN AICHA,puits onep ain aicha,nappe_point_eau,moyenne,mention explicite de puits,
PUITS ONEP GUIGUO,puits onep guiguo,nappe_point_eau,moyenne,mention explicite de puits,
PUITS RAS TABOUDA,puits ras tabouda,nappe_point_eau,moyenne,mention explicite de puits,
PUITS STATION DAR SALEM,puits station dar salem,nappe_point_eau,moyenne,mention explicite de puits,
SOURCE AKBOUB ,source akboub,source_pollution,moyenne,mention explicite de source,
SOURCE MASSEGAL,source massegal,source_pollution,moyenne,mention explicite de source,
SOURCE RAS EL AIN,source ras el ain,source_pollution,moyenne,mention explicite de source,
DAYAT FOUARATE,dayat fouarate,indetermine,faible,aucun motif semantique robuste detecte,
DAYAT SIDI BOUGHABA,dayat sidi boughaba,indetermine,faible,aucun motif semantique robuste detecte,
LAGUNE MERJA ZARGA (SURFACE),lagune merja zarga surface,indetermine,faible,aucun motif semantique robuste detecte,
BARRAGE ALLAL EL FASSI (FOND),barrage allal el fassi fond,barrage,moyenne,mention explicite de barrage,
BARRAGE ALLAL EL FASSI (MILIEU),barrage allal el fassi milieu,barrage,moyenne,mention explicite de barrage,
BARRAGE ALLAL EL FASSI (SURFACE),barrage allal el fassi surface,barrage,moyenne,mention explicite de barrage,
BARRAGE ASFALOU (FOND),barrage asfalou fond,barrage,moyenne,mention explicite de barrage,
BARRAGE ASFALOU (MILIEU),barrage asfalou milieu,barrage,moyenne,mention explicite de barrage,
BARRAGE ASFALOU (SURFACE),barrage asfalou surface,barrage,moyenne,mention explicite de barrage,
BARRAGE BAB LOUTA (FOND),barrage bab louta fond,barrage,moyenne,mention explicite de barrage,
BARRAGE BAB LOUTA (MILIEU),barrage bab louta milieu,barrage,moyenne,mention explicite de barrage,
BARRAGE BAB LOUTA (SURFACE),barrage bab louta surface,barrage,moyenne,mention explicite de barrage,
BARRAGE BOUHOUDA (FOND),barrage bouhouda fond,barrage,moyenne,mention explicite de barrage,
BARRAGE BOUHOUDA (MILIEU),barrage bouhouda milieu,barrage,moyenne,mention explicite de barrage,
BARRAGE BOUHOUDA (SURFACE),barrage bouhouda surface,barrage,moyenne,mention explicite de barrage,
BARRAGE DE GARDE  (FOND),barrage de garde fond,barrage,moyenne,mention explicite de barrage,
BARRAGE DE GARDE  (SURFACE),barrage de garde surface,barrage,moyenne,mention explicite de barrage,
BARRAGE EL KANSRA (FOND),barrage el kansra fond,barrage,moyenne,mention explicite de barrage,
BARRAGE EL KANSRA (MILIEU),barrage el kansra milieu,barrage,moyenne,mention explicite de barrage,
BARRAGE EL KANSRA (SURFACE),barrage el kansra surface,barrage,moyenne,mention explicite de barrage,
BARRAGE EL WAHDA (FOND),barrage el wahda fond,barrage,moyenne,mention explicite de barrage,
BARRAGE EL WAHDA (MILIEU),barrage el wahda milieu,barrage,moyenne,mention explicite de barrage,
BARRAGE EL WAHDA (SURFACE),barrage el wahda surface,barrage,moyenne,mention explicite de barrage,
BARRAGE IDRISS 1ER (FOND),barrage idriss 1er fond,barrage,moyenne,mention explicite de barrage,
BARRAGE IDRISS 1ER (MILIEU),barrage idriss 1er milieu,barrage,moyenne,mention explicite de barrage,
BARRAGE IDRISS 1ER (SURFACE),barrage idriss 1er surface,barrage,moyenne,mention explicite de barrage,
BARRAGE M'DEZ (FOND),barrage m dez fond,barrage,moyenne,mention explicite de barrage,
BARRAGE M'DEZ (MILIEU),barrage m dez milieu,barrage,moyenne,mention explicite de barrage,
BARRAGE M'DEZ (SURFACE),barrage m dez surface,barrage,moyenne,mention explicite de barrage,
BARRAGE OULJET SOLTANE (FOND),barrage ouljet soltane fond,barrage,moyenne,mention explicite de barrage,
BARRAGE OULJET SOLTANE (MILIEU),barrage ouljet soltane milieu,barrage,moyenne,mention explicite de barrage,
BARRAGE OULJET SOLTANE (SURFACE),barrage ouljet soltane surface,barrage,moyenne,mention explicite de barrage,
BARRAGE SAHLA (FOND),barrage sahla fond,barrage,moyenne,mention explicite de barrage,
BARRAGE SAHLA (MILIEU),barrage sahla milieu,barrage,moyenne,mention explicite de barrage,
BARRAGE SAHLA (SURFACE),barrage sahla surface,barrage,moyenne,mention explicite de barrage,
BARRAGE SIDI ECHAHED (FOND),barrage sidi echahed fond,barrage,moyenne,mention explicite de barrage,
BARRAGE SIDI ECHAHED (MILIEU),barrage sidi echahed milieu,barrage,moyenne,mention explicite de barrage,
BARRAGE SIDI ECHAHED (SURFACE),barrage sidi echahed surface,barrage,moyenne,mention explicite de barrage,
 REJET R1 (R1: SHZ-DOM2-R1),rejet r1 r1 shz dom2 r1,rejet,haute,mention explicite de rejet,
 REJET R10 (R10: KNH-DOM-R1),rejet r10 r10 knh dom r1,rejet,haute,mention explicite de rejet,
 REJET R10 EM (R10: KNH-DOM-R1),rejet r10 em r10 knh dom r1,rejet,haute,mention explicite de rejet,
 REJET R10 EP (R10: KNH-DOM-R1),rejet r10 ep r10 knh dom r1,rejet,haute,mention explicite de rejet,
 REJET R11 (R11: NTR-DOM-R1),rejet r11 r11 ntr dom r1,rejet,haute,mention explicite de rejet,
 REJET R12 (R12: MBK-DOM-R2),rejet r12 r12 mbk dom r2,rejet,haute,mention explicite de rejet,
 REJET R12 EM (R12: MBK-DOM-R2),rejet r12 em r12 mbk dom r2,rejet,haute,mention explicite de rejet,
 REJET R12 EP (R12: MBK-DOM-R2),rejet r12 ep r12 mbk dom r2,rejet,haute,mention explicite de rejet,
 REJET R4  (R4: SHZ-DOM3-R2),rejet r4 r4 shz dom3 r2,rejet,haute,mention explicite de rejet,
 REJET R6 (R6: ORG-DOM-R3),rejet r6 r6 org dom r3,rejet,haute,mention explicite de rejet,
 REJET R8  (R8: LMJ-DOM-R1),rejet r8 r8 lmj dom r1,rejet,haute,mention explicite de rejet,
 REJET R9 (R9: TRL-DOM-R1),rejet r9 r9 trl dom r1,rejet,haute,mention explicite de rejet,
AAZ_DOM1_R1,aaz dom1 r1,indetermine,faible,aucun motif semantique robuste detecte,
ACH_PDE(PUITS CARRIERE),ach pde puits carriere,nappe_point_eau,moyenne,mention explicite de puits,
ACH_PDS_R1,ach pds r1,indetermine,faible,aucun motif semantique robuste detecte,
ACH_PDS_R5,ach pds r5,indetermine,faible,aucun motif semantique robuste detecte,
AGR_DECH_PE (AIN FERDI),agr dech pe ain ferdi,indetermine,faible,aucun motif semantique robuste detecte,
AID_DOM1_R4,aid dom1 r4,indetermine,faible,aucun motif semantique robuste detecte,
AID_DOM1_R4 (AIN DFALI),aid dom1 r4 ain dfali,indetermine,faible,aucun motif semantique robuste detecte,
AKA_DOM_R1,aka dom r1,indetermine,faible,aucun motif semantique robuste detecte,
AKA_PDOM1_R1,aka pdom1 r1,indetermine,faible,aucun motif semantique robuste detecte,
ALH_PDOM1_PE1 (LAHCEN BIZIZI),alh pdom1 pe1 lahcen bizizi,indetermine,faible,aucun motif semantique robuste detecte,
ALH_PDOM1_R4 (E.M),alh pdom1 r4 e m,indetermine,faible,aucun motif semantique robuste detecte,
AMONT SEFROU,amont sefrou,indetermine,faible,aucun motif semantique robuste detecte,
AMONT SOUK ELAHAD CHEBANATE,amont souk elahad chebanate,indetermine,faible,aucun motif semantique robuste detecte,
AMONT STEP El Hajeb,amont step el hajeb,station_pompage,moyenne,mention explicite de step,
Amont STEP Khémisset ,amont step khemisset,station_pompage,moyenne,mention explicite de step,
AMONT STEP OUED AMLIL,amont step oued amlil,station_pompage,moyenne,mention explicite de step,
Amont STEP Taounate,amont step taounate,station_pompage,moyenne,mention explicite de step,
ARB_DECH1_PE1 (AIN LABROUAL),arb dech1 pe1 ain labroual,indetermine,faible,aucun motif semantique robuste detecte,
ATJ_DECH_PE1 ,atj dech pe1,indetermine,faible,aucun motif semantique robuste detecte,
AVAL AIN DFALI,aval ain dfali,indetermine,faible,aucun motif semantique robuste detecte,
AVAL AIN KARMA,aval ain karma,indetermine,faible,aucun motif semantique robuste detecte,
AVAL AIN LEUH,aval ain leuh,indetermine,faible,aucun motif semantique robuste detecte,
AVAL BOULEMANE,aval boulemane,indetermine,faible,aucun motif semantique robuste detecte,
AVAL OUED IFRANE,aval oued ifrane,oued_riviere,haute,mention explicite d'oued,
AVAL REJET AIN CHEGGAG,aval rejet ain cheggag,rejet,haute,mention explicite de rejet,
AVAL REJET BOUFEKRANE,aval rejet boufekrane,rejet,haute,mention explicite de rejet,
AVAL REJET EL MENZEL,aval rejet el menzel,rejet,haute,mention explicite de rejet,
AVAL REJET INDUSTRIEL MERJA,aval rejet industriel merja,rejet,haute,mention explicite de rejet,
AVAL REJET MOULAY DRISS ZARHOUN,aval rejet moulay driss zarhoun,rejet,haute,mention explicite de rejet,
AVAL REJET MOULAY YAACOUB,aval rejet moulay yaacoub,rejet,haute,mention explicite de rejet,
AVAL REJET SEFROU,aval rejet sefrou,rejet,haute,mention explicite de rejet,
AVAL SIDI SLIMANE,aval sidi slimane,indetermine,faible,aucun motif semantique robuste detecte,
AVAL SOUK ELAHAD CHEBANATE,aval souk elahad chebanate,indetermine,faible,aucun motif semantique robuste detecte,
Aval STEP (Aval Conf. Chaaba avec Oued Tiflet),aval step aval conf chaaba avec oued tiflet,station_pompage,moyenne,mention explicite de step,
AVAL STEP AZROU,aval step azrou,station_pompage,moyenne,mention explicite de step,
AVAL STEP EL HAJEB,aval step el hajeb,station_pompage,moyenne,mention explicite de step,
AVAL STEP IFRANE,aval step ifrane,station_pompage,moyenne,mention explicite de step,
Aval STEP Khémisset ,aval step khemisset,station_pompage,moyenne,mention explicite de step,
AVAL STEP OUED AMLIL,aval step oued amlil,station_pompage,moyenne,mention explicite de step,
Aval STEP Taounate,aval step taounate,station_pompage,moyenne,mention explicite de step,
AVAL VILLAGE AIT SIBERNE,aval village ait siberne,indetermine,faible,aucun motif semantique robuste detecte,
AVAL VILLAGE BNI AMMART,aval village bni ammart,indetermine,faible,aucun motif semantique robuste detecte,
Aval Village Galaz,aval village galaz,indetermine,faible,aucun motif semantique robuste detecte,
AZR_PDOM1_R1,azr pdom1 r1,indetermine,faible,aucun motif semantique robuste detecte,
AZZABA,azzaba,indetermine,faible,aucun motif semantique robuste detecte,
BA_DOM_R1,ba dom r1,indetermine,faible,aucun motif semantique robuste detecte,
BBR_PDS_R4  (E.M),bbr pds r4 e m,indetermine,faible,aucun motif semantique robuste detecte,
BBT_PDS_R3 (E.M),bbt pds r3 e m,indetermine,faible,aucun motif semantique robuste detecte,
BF_DOM_R1,bf dom r1,indetermine,faible,aucun motif semantique robuste detecte,
BFK_PDOM1_R1 (EM),bfk pdom1 r1 em,indetermine,faible,aucun motif semantique robuste detecte,
BHD_PDS_R2,bhd pds r2,indetermine,faible,aucun motif semantique robuste detecte,
BHL_DOM_PE1 (PUITS),bhl dom pe1 puits,nappe_point_eau,moyenne,mention explicite de puits,
BMR_DOM_PE1 (Forage CHELIK Arbi),bmr dom pe1 forage chelik arbi,nappe_point_eau,moyenne,mention explicite de forage,
BSM_PDOM1_R2 (EM),bsm pdom1 r2 em,indetermine,faible,aucun motif semantique robuste detecte,
CHG_DEC_PE1 (EL HOUD),chg dec pe1 el houd,indetermine,faible,aucun motif semantique robuste detecte,
CHQ_DOM_R1,chq dom r1,indetermine,faible,aucun motif semantique robuste detecte,
CHQ_DOM_R2,chq dom r2,indetermine,faible,aucun motif semantique robuste detecte,
DBA_DOM1_R1,dba dom1 r1,indetermine,faible,aucun motif semantique robuste detecte,
DDZ_PDOM1_R1,ddz pdom1 r1,indetermine,faible,aucun motif semantique robuste detecte,
GHF_PDE_P1,ghf pde p1,indetermine,faible,aucun motif semantique robuste detecte,
GHF_PDE_P1 (PUITS MRIZIEK),ghf pde p1 puits mriziek,nappe_point_eau,moyenne,mention explicite de puits,
GIG_DECH_PE1 (Puits LOUPARIS),gig dech pe1 puits louparis,nappe_point_eau,moyenne,mention explicite de puits,
HFT_DOM_R2,hft dom r2,indetermine,faible,aucun motif semantique robuste detecte,
HFT_DOM_R3,hft dom r3,indetermine,faible,aucun motif semantique robuste detecte,
HJB_DECH_PE1 (COOPERATIVE SIDI EL ALI),hjb dech pe1 cooperative sidi el ali,indetermine,faible,aucun motif semantique robuste detecte,
HJB_DECH_PE2 (COOPERATIVE ANNAKHLA),hjb dech pe2 cooperative annakhla,indetermine,faible,aucun motif semantique robuste detecte,
HJB_PDOM1_PE1 (COOPERATIVE AIT NAAMANE),hjb pdom1 pe1 cooperative ait naamane,indetermine,faible,aucun motif semantique robuste detecte,
IMK_DEC_PE1 (AMHAOUCHE ISMAIL),imk dec pe1 amhaouche ismail,indetermine,faible,aucun motif semantique robuste detecte,
IMK_DOM_R3,imk dom r3,indetermine,faible,aucun motif semantique robuste detecte,
IMM_DECH_PE1 (FORAGE ONEE-BO),imm dech pe1 forage onee bo,nappe_point_eau,moyenne,mention explicite de forage,
JEM_DOM_R1,jem dom r1,indetermine,faible,aucun motif semantique robuste detecte,
JEM_DOM_R3,jem dom r3,indetermine,faible,aucun motif semantique robuste detecte,
KRB_PDE_P1,krb pde p1,indetermine,faible,aucun motif semantique robuste detecte,
KSN_DOM_R1,ksn dom r1,indetermine,faible,aucun motif semantique robuste detecte,
LMJ_DOM_R2,lmj dom r2,indetermine,faible,aucun motif semantique robuste detecte,
LOD_DOM_R1,lod dom r1,indetermine,faible,aucun motif semantique robuste detecte,
LOJ_DOM_R1,loj dom r1,indetermine,faible,aucun motif semantique robuste detecte,
M_DECH_PE1 (FORAGE IRE 2153/15),m dech pe1 forage ire 2153 15,nappe_point_eau,moyenne,mention explicite de forage,
M_DECH_PE3 (Forage IRE 3224/15),m dech pe3 forage ire 3224 15,nappe_point_eau,moyenne,mention explicite de forage,
M_DOM_R1,m dom r1,indetermine,faible,aucun motif semantique robuste detecte,
MBC_DOM_R1,mbc dom r1,indetermine,faible,aucun motif semantique robuste detecte,
MBK_DEC_PE1 (Forage Ferme ZIANI Bel Arbi),mbk dec pe1 forage ferme ziani bel arbi,nappe_point_eau,moyenne,mention explicite de forage,
MBK_DOM_PE1 (Forage Belaje),mbk dom pe1 forage belaje,nappe_point_eau,moyenne,mention explicite de forage,
MBK_DOM_R3,mbk dom r3,indetermine,faible,aucun motif semantique robuste detecte,
MBK_DOM_R4,mbk dom r4,indetermine,faible,aucun motif semantique robuste detecte,
MBK_DOM_R5,mbk dom r5,indetermine,faible,aucun motif semantique robuste detecte,
MBK_DOM_R6,mbk dom r6,indetermine,faible,aucun motif semantique robuste detecte,
MDZ_PDOM1_PE1 ,mdz pdom1 pe1,indetermine,faible,aucun motif semantique robuste detecte,
MERJA FOUARATE,merja fouarate,indetermine,faible,aucun motif semantique robuste detecte,
MGH_PDOM1_R1,mgh pdom1 r1,indetermine,faible,aucun motif semantique robuste detecte,
MHA_PDOM1_R2,mha pdom1 r2,indetermine,faible,aucun motif semantique robuste detecte,
MHD_DOM1_BILADI_R1,mhd dom1 biladi r1,indetermine,faible,aucun motif semantique robuste detecte,
MKS_DOM_R1,mks dom r1,indetermine,faible,aucun motif semantique robuste detecte,
MKS_DOM_R2,mks dom r2,indetermine,faible,aucun motif semantique robuste detecte,
MNZ_DOM_R10  (E.M),mnz dom r10 e m,indetermine,faible,aucun motif semantique robuste detecte,
MOG_DOM_R1,mog dom r1,indetermine,faible,aucun motif semantique robuste detecte,
MOKR_PDOM_R1,mokr pdom r1,indetermine,faible,aucun motif semantique robuste detecte,
MSA_DOM1,msa dom1,indetermine,faible,aucun motif semantique robuste detecte,
MTA_PDOM_R4,mta pdom r4,indetermine,faible,aucun motif semantique robuste detecte,
NBA_PDOM1_R1,nba pdom1 r1,indetermine,faible,aucun motif semantique robuste detecte,
OA_DOM_R3,oa dom r3,indetermine,faible,aucun motif semantique robuste detecte,
OHN_DOM_R1,ohn dom r1,indetermine,faible,aucun motif semantique robuste detecte,
OMN_DOM_R2,omn dom r2,indetermine,faible,aucun motif semantique robuste detecte,
ORG_DOM_R2,org dom r2,indetermine,faible,aucun motif semantique robuste detecte,
OZ_DECH_R1,oz dech r1,indetermine,faible,aucun motif semantique robuste detecte,
PA AVAL STEP MHAYA,pa aval step mhaya,station_pompage,moyenne,mention explicite de step,
PA Aval Village Tigrigra,pa aval village tigrigra,indetermine,faible,aucun motif semantique robuste detecte,
PA SIDI MOKHFI,pa sidi mokhfi,indetermine,faible,aucun motif semantique robuste detecte,
PONT RS 302,pont rs 302,indetermine,faible,aucun motif semantique robuste detecte,
PT. O. BEHT AVAL BIORISINE,pt o beht aval biorisine,indetermine,faible,aucun motif semantique robuste detecte,
R-KRB_PDE_P2,r krb pde p2,indetermine,faible,aucun motif semantique robuste detecte,
RAT_DOM_PE1 (TAIBI HASSAN),rat dom pe1 taibi hassan,indetermine,faible,aucun motif semantique robuste detecte,
RAT_DOM_R1,rat dom r1,indetermine,faible,aucun motif semantique robuste detecte,
REJET ABATTOIR AGOURAI,rejet abattoir agourai,rejet,haute,mention explicite de rejet,
REJET ABATTOIR BAB MARZOUKA ,rejet abattoir bab marzouka,rejet,haute,mention explicite de rejet,
REJET ABATTOIR BNI FTAH,rejet abattoir bni ftah,rejet,haute,mention explicite de rejet,
REJET ABATTOIR GALDMANE,rejet abattoir galdmane,rejet,haute,mention explicite de rejet,
REJET ABATTOIR GUIGOU,rejet abattoir guigou,rejet,haute,mention explicite de rejet,
REJET ABATTOIR MASMOUDA,rejet abattoir masmouda,rejet,haute,mention explicite de rejet,
REJET ABATTOIR MATMATA,rejet abattoir matmata,rejet,haute,mention explicite de rejet,
REJET ABATTOIR MOQRISSET ,rejet abattoir moqrisset,rejet,haute,mention explicite de rejet,
REJET ABATTOIR MOULAY DRISS ZRHOUN ,rejet abattoir moulay driss zrhoun,rejet,haute,mention explicite de rejet,
REJET ABATTOIR OUED AMLIL ,rejet abattoir oued amlil,rejet,haute,mention explicite de rejet,
REJET ABATTOIR OULED ZBAIR,rejet abattoir ouled zbair,rejet,haute,mention explicite de rejet,
REJET ABATTOIR SIDI BOUSBER,rejet abattoir sidi bousber,rejet,haute,mention explicite de rejet,
REJET ABATTOIR SIDI REDOUANE,rejet abattoir sidi redouane,rejet,haute,mention explicite de rejet,
REJET ABATTOIR SIDI SIDI BOUKNADEL,rejet abattoir sidi sidi bouknadel,rejet,haute,mention explicite de rejet,
REJET ABATTOIR SKOURA MDAZ,rejet abattoir skoura mdaz,rejet,haute,mention explicite de rejet,
REJET ABATTOIR TAHLA,rejet abattoir tahla,rejet,haute,mention explicite de rejet,
REJET ABATTOIR TAOUNATE,rejet abattoir taounate,rejet,haute,mention explicite de rejet,
REJET ABATTOIR ZOUMI ,rejet abattoir zoumi,rejet,haute,mention explicite de rejet,
REJET BOULEMANE (EM),rejet boulemane em,rejet,haute,mention explicite de rejet,
Rejet Industriel (SMK),rejet industriel smk,rejet,haute,mention explicite de rejet,
REJET MERJA FOUARATE AIN SEBAA,rejet merja fouarate ain sebaa,rejet,haute,mention explicite de rejet,
REJET R1 EM (R1: SHZ-DOM2-R1),rejet r1 em r1 shz dom2 r1,rejet,haute,mention explicite de rejet,
REJET R1 EP (R1: SHZ-DOM2-R1),rejet r1 ep r1 shz dom2 r1,rejet,haute,mention explicite de rejet,
REJET R11 EM (R11: NTR-DOM-R1),rejet r11 em r11 ntr dom r1,rejet,haute,mention explicite de rejet,
REJET R11 EP (R11: NTR-DOM-R1),rejet r11 ep r11 ntr dom r1,rejet,haute,mention explicite de rejet,
REJET R2 (R2: SHZ-DOM2-R2),rejet r2 r2 shz dom2 r2,rejet,haute,mention explicite de rejet,
REJET R2 EM  (R2: SHZ-DOM2-R2),rejet r2 em r2 shz dom2 r2,rejet,haute,mention explicite de rejet,
REJET R2 EP  (R2: SHZ-DOM2-R2),rejet r2 ep r2 shz dom2 r2,rejet,haute,mention explicite de rejet,
REJET R3  (R3: SHZ-DOM1-R1),rejet r3 r3 shz dom1 r1,rejet,haute,mention explicite de rejet,
REJET R3 EM  (R3: SHZ-DOM1-R1),rejet r3 em r3 shz dom1 r1,rejet,haute,mention explicite de rejet,
REJET R3 EP  (R3: SHZ-DOM1-R1),rejet r3 ep r3 shz dom1 r1,rejet,haute,mention explicite de rejet,
REJET R4 EM (R4: SHZ-DOM3-R2),rejet r4 em r4 shz dom3 r2,rejet,haute,mention explicite de rejet,
REJET R4 EP (R4: SHZ-DOM3-R2),rejet r4 ep r4 shz dom3 r2,rejet,haute,mention explicite de rejet,
REJET R5 (R5: LOD-DOM-R2),rejet r5 r5 lod dom r2,rejet,haute,mention explicite de rejet,
REJET R5 EM (R5: LOD-DOM-R2),rejet r5 em r5 lod dom r2,rejet,haute,mention explicite de rejet,
REJET R5 EP (R5: LOD-DOM-R2),rejet r5 ep r5 lod dom r2,rejet,haute,mention explicite de rejet,
REJET R6 EM  (R6: ORG-DOM-R3),rejet r6 em r6 org dom r3,rejet,haute,mention explicite de rejet,
REJET R6 EP  (R6: ORG-DOM-R3),rejet r6 ep r6 org dom r3,rejet,haute,mention explicite de rejet,
REJET R7 (R7: JEM-DOM-R2),rejet r7 r7 jem dom r2,rejet,haute,mention explicite de rejet,
REJET R7 EM  (R7: JEM-DOM-R2),rejet r7 em r7 jem dom r2,rejet,haute,mention explicite de rejet,
REJET R7 EP  (R7: JEM-DOM-R2),rejet r7 ep r7 jem dom r2,rejet,haute,mention explicite de rejet,
REJET R8 EM (R8: LMJ-DOM-R1),rejet r8 em r8 lmj dom r1,rejet,haute,mention explicite de rejet,
REJET R8 EP (R8: LMJ-DOM-R1),rejet r8 ep r8 lmj dom r1,rejet,haute,mention explicite de rejet,
REJET R9 EM (R9: TRL-DOM-R1),rejet r9 em r9 trl dom r1,rejet,haute,mention explicite de rejet,
REJET R9 EP (R9: TRL-DOM-R1),rejet r9 ep r9 trl dom r1,rejet,haute,mention explicite de rejet,
REJET STEP TIFLET,rejet step tiflet,station_pompage,moyenne,mention explicite de step,
RG_AIS_1,rg ais 1,indetermine,faible,aucun motif semantique robuste detecte,
RG_TFL_1,rg tfl 1,indetermine,faible,aucun motif semantique robuste detecte,
RZI_DEC_PE1 (Puits Fouad ELBRINI),rzi dec pe1 puits fouad elbrini,nappe_point_eau,moyenne,mention explicite de puits,
S1 (Aval_conf_Rejet_MOG (Mograne),s1 aval conf rejet mog mograne,rejet,haute,mention explicite de rejet,
S10 (Aval douar Zehair (sidi kamel),s10 aval douar zehair sidi kamel,indetermine,faible,aucun motif semantique robuste detecte,
S11 (Amont Fermes Agricole sidi kamel,s11 amont fermes agricole sidi kamel,indetermine,faible,aucun motif semantique robuste detecte,
S12 (Aval_Conf_Rejet_MBK_R4 (Mechraa Bel Ksiri),s12 aval conf rejet mbk r4 mechraa bel ksiri,rejet,haute,mention explicite de rejet,
S13 (Aval_Conf_Rejet_MBK (Mechraa Bel Ksiri),s13 aval conf rejet mbk mechraa bel ksiri,rejet,haute,mention explicite de rejet,
S14 (Aval_Conf_Rejet_HFT (Al Haouafate),s14 aval conf rejet hft al haouafate,rejet,haute,mention explicite de rejet,
S15 (Aval_Conf_Sebou_ Ouagha (Dour El Kbara),s15 aval conf sebou ouagha dour el kbara,indetermine,faible,aucun motif semantique robuste detecte,
S16 (Aval_Conf_Rejet_KHN (Khnichet),s16 aval conf rejet khn khnichet,rejet,haute,mention explicite de rejet,
S18 (Aval Sidi Daoud),s18 aval sidi daoud,indetermine,faible,aucun motif semantique robuste detecte,
S2 (Barrage de garde),s2 barrage de garde,barrage,moyenne,mention explicite de barrage,
S20 (Aval STEP Fes),s20 aval step fes,station_pompage,moyenne,mention explicite de step,
S21 (Aval_conf_Leban_ Inaoun,s21 aval conf leban inaoun,indetermine,faible,aucun motif semantique robuste detecte,
S22 (Aval_conf_Sebou_ Inaoun),s22 aval conf sebou inaoun,indetermine,faible,aucun motif semantique robuste detecte,
S23 (Aval_Conf_Rejet_JEM (Jorf el MALHA ),s23 aval conf rejet jem jorf el malha,rejet,haute,mention explicite de rejet,
S24 (Douar Chorf laghouazi),s24 douar chorf laghouazi,indetermine,faible,aucun motif semantique robuste detecte,
S25 (Aval_Conf_Rejet_LMJ (Lamjaara),s25 aval conf rejet lmj lamjaara,rejet,haute,mention explicite de rejet,
S26 (Aval_Conf_Rejet_MKS (Mkansa),s26 aval conf rejet mks mkansa,rejet,haute,mention explicite de rejet,
S27 (Aval_Conf_Rejet_LOD (Louadaine),s27 aval conf rejet lod louadaine,rejet,haute,mention explicite de rejet,
S28 (Aval_Conf_Rejet_ORG (Ouartzagh),s28 aval conf rejet org ouartzagh,rejet,haute,mention explicite de rejet,
S29 (Aval_Conf_Rejet_Douar Ouled Jrir,s29 aval conf rejet douar ouled jrir,rejet,haute,mention explicite de rejet,
S3 (Station Pompage Ferme (Amont Bge de garde),s3 station pompage ferme amont bge de garde,station_pompage,haute,mention station et pompage,
S30 (Aval_Conf_Rejet_SHZ (Sidi Harazem),s30 aval conf rejet shz sidi harazem,rejet,haute,mention explicite de rejet,
S31 (Aval_Conf_Rejet_LOJ (Loulja),s31 aval conf rejet loj loulja,rejet,haute,mention explicite de rejet,
S4 (Amont station pompage ferme),s4 amont station pompage ferme,station_pompage,haute,mention station et pompage,
S5 (Aval ancien rejet sotrameg),s5 aval ancien rejet sotrameg,rejet,haute,mention explicite de rejet,
S6 (Amont ancien rejet sotrameg),s6 amont ancien rejet sotrameg,rejet,haute,mention explicite de rejet,
S7 (Aval_Conf_Rejet_SAT (Sidi Allal Tazi),s7 aval conf rejet sat sidi allal tazi,rejet,haute,mention explicite de rejet,
